;total.Var1;total.Freq;frec_relativa;Cargo_homologado
1;Software Engineer;518;7729%;
2;Data Scientist;453;6759%;
3;Software Engineer Manager;376;5610%;
4;Data Analyst;363;5416%;
5;Senior Project Engineer;318;4745%;
6;Product Manager;313;4670%;
7;Full Stack Engineer;309;4611%;
8;Marketing Manager;255;3805%;
9;Back end Developer;244;3641%;
10;Senior Software Engineer;244;3641%;
11;Front end Developer;241;3596%;
12;Marketing Coordinator;158;2358%;
13;Junior Sales Associate;142;2119%;
14;Financial Manager;134;1999%;
15;Marketing Analyst;132;1970%;
16;Software Developer;125;1865%;
17;Operations Manager;114;1701%;
18;Human Resources Manager;104;1552%;
19;Director of Marketing;88;1313%;
20;Web Developer;87;1298%;
21;Product Designer;75;1119%;
22;Research Director;75;1119%;
23;Content Marketing Manager;73;1089%;
24;Sales Associate;70;1044%;
25;Director of HR;69;1030%;
26;Research Scientist;69;1030%;
27;Senior Product Marketing Manager;69;1030%;
28;Marketing Director;64;0.955%;
29;Sales Director;63;0.940%;
30;Senior Data Scientist;61;0.910%;
31;Junior HR Generalist;60;0.895%;
32;Junior Software Developer;58;0.865%;
33;Director of Data Science;57;0.850%;
34;Receptionist;57;0.850%;
35;Sales Manager;56;0.836%;
36;Digital Marketing Manager;52;0.776%;
37;Junior Marketing Manager;51;0.761%;
38;Junior Software Engineer;51;0.761%;
39;Human Resources Coordinator;49;0.731%;
40;Senior Research Scientist;49;0.731%;
41;Senior Human Resources Manager;48;0.716%;
42;Junior Web Developer;42;0.627%;
43;Senior HR Generalist;42;0.627%;
44;Junior Sales Representative;41;0.612%;
45;Financial Analyst;39;0.582%;
46;Sales Executive;38;0.567%;
47;Sales Representative;38;0.567%;
48;Front End Developer;31;0.463%;
49;Junior HR Coordinator;29;0.433%;
50;Junior Data Analyst;25;0.373%;
51;Graphic Designer;22;0.328%;
52;Project Manager;22;0.328%;
53;Digital Marketing Specialist;15;0.224%;
54;Social Media Manager;14;0.209%;
55;Director of Operations;11;0.164%;
56;Senior Business Analyst;10;0.149%;
57;Senior Marketing Analyst;9;0.134%;
58;Senior Marketing Manager;9;0.134%;
59;Junior Business Analyst;8;0.119%;
60;Junior Business Development Associate;7;0.104%;
61;Junior Financial Analyst;7;0.104%;
62;Senior Financial Analyst;7;0.104%;
63;Senior Project Manager;7;0.104%;
64;Customer Service Representative;6;0.090%;
65;Junior Marketing Coordinator;6;0.090%;
66;Senior Product Manager;6;0.090%;
67;Delivery Driver;5;0.075%;
68;Junior Marketing Specialist;5;0.075%;
69;Junior Operations Analyst;5;0.075%;
70;Junior Project Manager;5;0.075%;
71;Senior Financial Manager;5;0.075%;
72;Senior Operations Manager;5;0.075%;
73;Senior Product Designer;5;0.075%;
74;Senior Project Coordinator;5;0.075%;
75;Junior Product Manager;4;0.060%;
76;Senior Business Development Manager;4;0.060%;
77;Senior Data Engineer;4;0.060%;
78;Senior Marketing Specialist;4;0.060%;
79;Senior Operations Coordinator;4;0.060%;
